risetime,riseaz,maxtime,maxalt,settime,setaz
2016-01-13 15:57:19,166.4933332460128,2016-01-13 16:03:51,17.335849981476517,2016-01-13 16:10:42,47.546312850292765
2016-01-13 17:36:12,219.07274419379627,2016-01-13 17:43:50,58.15832312222821,2016-01-13 17:51:56,26.70230524882115
2016-01-13 19:19:27,270.93043637274116,2016-01-13 19:25:33,10.410638365956904,2016-01-13 19:31:48,12.992645386386716
2016-01-13 21:07:41,335.91424949483314,2016-01-13 21:09:06,0.3032189644462965,2016-01-13 21:10:30,356.52713203252796
2016-01-13 22:52:15,3.56407146953152,2016-01-13 22:53:37,0.2908662738476375,2016-01-13 22:54:58,23.84566229828065
2016-01-14 00:30:58,346.7995219750825,2016-01-14 00:37:06,10.414050045447325,2016-01-14 00:42:55,89.8219463030051
2016-01-14 02:10:53,332.4928711357904,2016-01-14 02:18:46,63.66260181961224,2016-01-14 02:25:51,143.3455216205161
2016-01-14 03:52:22,309.49122555853194,2016-01-14 03:58:33,13.309010357231598,2016-01-14 04:04:20,199.3606270038427
2016-01-14 14:47:33,119.79635441901112,2016-01-14 14:50:19,1.5480450864670534,2016-01-14 14:53:09,76.59178791842037
2016-01-14 16:22:03,189.62199302107678,2016-01-14 16:29:26,42.097744590873944,2016-01-14 16:37:18,37.20529716386674
2016-01-14 18:02:50,239.98249407357653,2016-01-14 18:10:08,27.05000115116253,2016-01-14 18:17:47,20.608417301524945
2016-01-14 19:47:58,295.19110438008636,2016-01-14 19:52:37,4.51109662130424,2016-01-14 19:57:19,7.601073348044363
2016-01-14 23:17:12,354.7075696376366,2016-01-14 23:21:04,2.8566132819062933,2016-01-14 23:24:52,54.42280728778361
2016-01-15 00:56:38,341.2577796901009,2016-01-15 01:03:49,20.9346629947779,2016-01-15 01:10:27,112.77557565039834
2016-01-15 02:37:00,324.79314424292164,2016-01-15 02:44:42,50.82233112341934,2016-01-15 02:51:37,165.25395443997897
2016-01-15 04:20:31,288.15174749693114,2016-01-15 04:23:50,2.4208467859726563,2016-01-15 04:27:02,233.97105333975156
2016-01-15 15:09:39,156.0735518180782,2016-01-15 15:15:35,11.651869860803103,2016-01-15 15:21:46,52.96863269273122
2016-01-15 16:47:39,210.78221959809977,2016-01-15 16:55:19,81.1965990040054,2016-01-15 17:03:28,29.4015943012629
2016-01-15 18:30:12,261.7742672620156,2016-01-15 18:36:44,13.789504773831885,2016-01-15 18:43:28,15.104611594740943
2016-01-15 20:17:23,322.58469819744636,2016-01-15 20:19:59,1.1067113460296216,2016-01-15 20:22:35,0.9973425150579694
2016-01-15 23:42:39,349.0042523976492,2016-01-15 23:48:14,7.635363458998765,2016-01-15 23:53:34,80.11391839791001
2016-01-16 01:22:26,335.18027736662356,2016-01-16 01:30:12,44.570201353432275,2016-01-16 01:37:14,134.6882705079033
2016-01-16 03:03:30,314.6942451021942,2016-01-16 03:10:17,19.72109547361754,2016-01-16 03:16:33,188.87259832572133
2016-01-16 15:33:56,180.76983563030848,2016-01-16 15:41:04,29.60978529735406,2016-01-16 15:48:38,40.92145624220352
2016-01-16 17:13:59,231.54374071251243,2016-01-16 17:21:29,36.0619917986983,2016-01-16 17:29:22,22.94806786586155
2016-01-16 18:58:21,285.1728834338351,2016-01-16 19:03:39,6.52167294029786,2016-01-16 19:09:02,9.782399273646424
2016-01-16 22:29:01,357.4843147428136,2016-01-16 22:32:01,1.5781828692929116,2016-01-16 22:34:59,43.08315305790461
2016-01-17 00:08:15,343.5409206843394,2016-01-17 00:15:04,15.852793931518725,2016-01-17 00:21:25,103.70619775345611
2016-01-17 01:48:26,328.07545995046297,2016-01-17 01:56:15,75.04959267553402,2016-01-17 02:03:17,156.39595040728113
2016-01-17 03:30:51,298.94254480058083,2016-01-17 03:35:38,6.090152260707033,2016-01-17 03:40:12,217.87889542876974
2016-01-17 14:22:15,144.27643542325382,2016-01-17 14:27:21,7.069831906571349,2016-01-17 14:32:36,59.77825274805848
2016-01-17 15:59:12,202.43837854574215,2016-01-17 16:06:49,72.47313603757848,2016-01-17 16:14:56,32.313973302978
2016-01-17 17:41:02,252.8722904714412,2016-01-17 17:47:57,18.06133730718964,2016-01-17 17:55:06,17.2546544001707
2016-01-17 19:27:23,311.0379355564597,2016-01-17 19:30:53,2.2156986391567384,2016-01-17 19:34:25,3.9370977687401236
2016-01-17 22:54:21,351.2548270499251,2016-01-17 22:59:18,5.38294593630745,2016-01-17 23:04:04,70.03862439095417
2016-01-18 00:33:59,337.71944117171086,2016-01-18 00:41:34,32.22104516422539,2016-01-18 00:48:29,125.96487584336806
2016-01-18 02:14:44,319.12067213722605,2016-01-18 02:21:58,28.551409919420145,2016-01-18 02:28:33,179.10433498233587
2016-01-18 14:45:57,171.47788235888305,2016-01-18 14:52:44,20.881211641880668,2016-01-18 14:59:52,45.151908074474754
2016-01-18 16:25:14,223.20021384885663,2016-01-18 16:32:51,49.31002820343555,2016-01-18 16:40:55,25.412297665564598
2016-01-18 18:08:52,275.5274815332399,2016-01-18 18:14:44,8.994229594372802,2016-01-18 18:20:42,11.907846567874964
2016-01-18 21:40:56,1.1901361303258038,2016-01-18 21:42:54,0.6211181932139189,2016-01-18 21:44:51,30.539729213229634
2016-01-18 23:19:53,345.77895510929915,2016-01-18 23:26:14,11.947679377340831,2016-01-18 23:32:14,94.38994266896378
2016-01-19 00:59:53,331.0871635630884,2016-01-19 01:07:45,76.25241630912994,2016-01-19 01:14:48,147.65676434538483
